Date, Penny ML ,Equal Weighted Universe,Russell Micro Cap Growth,Russell 2000
"May 29, '23",152739,47828,103425,101861
"May 30, '23",152739,50020,103094,101544
"May 31, '23",154042,47828,102879,100556
"Jun 1, '23",152155,47828,103846,101620
"Jun 2, '23",153291,49741,106664,105242
"Jun 3, '23",154604,49741,106664,105242
"Jun 4, '23",154604,49741,106664,105242
"Jun 5, '23",154604,48346,106177,103853
"Jun 6, '23",154527,50219,108603,106655
"Jun 7, '23",154624,49303,110063,108559
"Jun 8, '23",154770,51415,110117,108128
"Jun 9, '23",155089,49024,109237,107266
"Jun 10, '23",154498,49024,109237,107266
"Jun 11, '23",154498,49024,109237,107266
"Jun 12, '23",154498,51335,109843,107699
"Jun 13, '23",153154,51016,111043,109036
"Jun 14, '23",152527,48944,109584,107792
"Jun 15, '23",155539,48824,110213,108683
"Jun 16, '23",155807,51813,109112,107892
"Jun 17, '23",155092,51813,109112,107892
"Jun 18, '23",155092,51813,109112,107892
"Jun 19, '23",155092,51813,109112,107892
"Jun 20, '23",155092,50538,109055,107388
"Jun 21, '23",155357,51893,109173,107179
"Jun 22, '23",155824,50817,108517,106327
"Jun 23, '23",156791,54404,106592,104805
"Jun 24, '23",157392,54404,106592,104805
"Jun 25, '23",157392,54404,106592,104805
"Jun 26, '23",157392,49063,105288,104899
"Jun 27, '23",160436,51973,105854,106435
"Jun 28, '23",161145,52929,106740,106941
"Jun 29, '23",160803,51495,107381,108314
"Jun 30, '23",160860,50618,108196,108731
"Jul 1, '23",162951,50618,108196,108731
"Jul 2, '23",162951,50618,108196,108731
"Jul 3, '23",162951,50817,108641,109201
"Jul 4, '23",164261,50817,108641,109201
"Jul 5, '23",164261,51813,106595,107833
"Jul 6, '23",165578,51216,104582,106072
"Jul 7, '23",165935,51774,105890,107365
"Jul 8, '23",166743,51774,105890,107365
"Jul 9, '23",166743,51774,105890,107365
"Jul 10, '23",166743,56158,107603,109128
"Jul 11, '23",167749,59745,107800,110172
"Jul 12, '23",168158,57912,108565,111328
"Jul 13, '23",168401,57792,109243,112345
"Jul 14, '23",168941,59386,108218,111208
"Jul 15, '23",169554,59386,108218,111208
"Jul 16, '23",169554,59386,108218,111208
"Jul 17, '23",169554,58709,109735,112370
"Jul 18, '23",169293,63372,110540,113799
"Jul 19, '23",169805,65046,110497,114309
"Jul 20, '23",170272,62654,108908,113293
"Jul 21, '23",170426,61299,108656,112898
"Jul 22, '23",170377,61299,108656,112898
"Jul 23, '23",170377,61299,108656,112898
"Jul 24, '23",170377,63372,108067,113212
"Jul 25, '23",170152,58151,107793,113237
"Jul 26, '23",169675,59745,108212,114057
"Jul 27, '23",168689,59785,106408,112592
"Jul 28, '23",174678,58788,108562,114133
"Jul 29, '23",176499,58788,108562,114133
"Jul 30, '23",176499,58788,108562,114133
"Jul 31, '23",176499,62415,110028,115381
"Aug 1, '23",177254,61738,109836,114862
"Aug 2, '23",177158,57792,107897,113292
"Aug 3, '23",178371,59904,107607,112986
"Aug 4, '23",178046,58111,107591,112772
"Aug 5, '23",175195,58111,107591,112772
"Aug 6, '23",175195,58111,107591,112772
"Aug 7, '23",175195,57154,106590,112860
"Aug 8, '23",175259,58589,106401,112200
"Aug 9, '23",173836,54045,105443,111247
"Aug 10, '23",174006,53727,105120,110791
"Aug 11, '23",172973,53009,105451,110946
"Aug 12, '23",171354,53009,105451,110946
"Aug 13, '23",171354,53009,105451,110946
"Aug 14, '23",171354,50339,105279,110704
"Aug 15, '23",171650,49422,104494,109284
"Aug 16, '23",173521,47828,102777,107903
"Aug 17, '23",172171,48226,101184,106677
"Aug 18, '23",173263,47828,101914,107221
"Aug 19, '23",174208,47828,101914,107221
"Aug 20, '23",174208,47828,101914,107221
"Aug 21, '23",174208,48665,101647,107028
"Aug 22, '23",173123,48665,101602,106733
"Aug 23, '23",172912,49024,102552,107845
"Aug 24, '23",171984,48306,100775,106482
"Aug 25, '23",170732,47828,101225,106907
"Aug 26, '23",170825,47828,101225,106907
"Aug 27, '23",170825,47828,101225,106907
"Aug 28, '23",170825,48386,101760,107794
"Aug 29, '23",175094,51176,103200,109326
"Aug 30, '23",179208,48824,103551,109785
"Aug 31, '23",182879,48226,103067,109608
"Sep 1, '23",182756,49263,104169,110831
"Sep 2, '23",184224,49263,104169,110831
"Sep 3, '23",184224,49263,104169,110831
"Sep 4, '23",184224,49263,104169,110831
"Sep 5, '23",184224,49422,102393,108504
"Sep 6, '23",184919,48505,101782,108151
"Sep 7, '23",184518,49063,100556,107097
"Sep 8, '23",182963,47828,100199,106858
"Sep 9, '23",183710,47828,100199,106858
"Sep 10, '23",183710,47828,100199,106858
"Sep 11, '23",183710,49582,100667,107067
"Sep 12, '23",189336,48226,100224,107081
"Sep 13, '23",191346,49063,99278,106253
"Sep 14, '23",192093,53328,100616,107778
"Sep 15, '23",193859,53766,99378,106648
